TimeGenerated,EventID,EventType,Source,Message,User,ComputerName,SourceIP
Mar 01 05:20:00,4672,Information,Security,Special privileges assigned to new logon: root,readonly_user,web-srv-01,10.0.2.5
Mar 23 21:52:21,4688,Information,Security,A new process has been created: siem_alert triggered process=cmd.exe parent=explorer.exe User=readonly_user,root,proxy-srv-04,91.108.4.12
Jan 29 07:05:10,4740,Information,Security,A user account was locked out after failed attempts: readonly_user account_locked=true,backup_svc,siem-srv-06,91.108.4.12
Mar 29 03:48:00,4624,Information,Security,An account was successfully logged on. Subject: dbadmin,root,db-srv-02,77.88.8.8
Jan 10 20:52:11,4625,FailureAudit,Security,An account failed to log on. Account Name: dbadmin Failure Reason: bad password,root,siem-srv-06,172.16.0.25
Jan 05 09:01:24,4625,FailureAudit,Security,An account failed to log on. Account Name: dbadmin Failure Reason: bad password,dbadmin,siem-srv-06,104.21.8.9
Mar 21 20:52:25,4688,Information,Security,A new process has been created: siem_alert triggered process=cmd.exe parent=explorer.exe User=aruiz,backup_svc,proxy-srv-04,192.168.1.100
Mar 21 17:19:17,4672,Information,Security,Special privileges assigned to new logon: admin,api_svc,db-srv-02,172.16.0.25
Mar 22 15:40:12,4624,Information,Security,An account was successfully logged on. Subject: readonly_user,mlopez,web-srv-01,192.168.1.100
Jan 28 21:17:19,4720,Information,Security,A user account was created: root account_provisioned=true,admin,siem-srv-06,192.168.1.100
Mar 15 03:03:31,4648,Information,Security,A logon was attempted using explicit credentials: jgarcia,backup_svc,dlp-agent-08,192.168.1.50
Jan 18 15:19:20,4673,SuccessAudit,Security,A privileged service was called by root,api_svc,proxy-srv-04,172.16.0.25
Feb 18 09:59:05,4688,Information,Security,A new process has been created: siem_alert triggered process=cmd.exe parent=explorer.exe User=scanner,dbadmin,db-srv-02,192.168.1.50
Jan 09 23:22:55,4673,SuccessAudit,Security,A privileged service was called by admin,devops,cloud-gw-05,10.0.1.10
Jan 19 12:16:34,4624,Information,Security,An account was successfully logged on. Subject: backup_svc,root,auth-srv-03,10.0.1.10
Jan 26 18:36:03,8001,Warning,DLP-Agent,dlp_block: sensitive_leak attempt blocked user=devops file=financial_data.xlsx classification=C3,jgarcia,db-srv-02,192.168.1.100
Jan 23 10:46:40,4625,FailureAudit,Security,An account failed to log on. Account Name: aruiz Failure Reason: bad password,devops,auth-srv-03,10.0.1.20
Jan 10 03:27:24,8001,Warning,DLP-Agent,dlp_block: sensitive_leak attempt blocked user=readonly_user file=financial_data.xlsx classification=C3,sysadmin,dlp-agent-08,10.0.1.20
Feb 18 12:54:01,4624,Information,Security,An account was successfully logged on. Subject: mlopez,mlopez,cloud-gw-05,192.168.1.50
Jan 16 13:20:57,4672,Information,Security,Special privileges assigned to new logon: mlopez,devops,dlp-agent-08,10.0.2.5
Mar 08 09:34:38,7036,Information,Service Control Manager,endpoint_registered: Device compliance check passed mdm_enrolled=true,SYSTEM,proxy-srv-04,-
Feb 24 23:56:28,4625,FailureAudit,Security,An account failed to log on. Account Name: root Failure Reason: bad password,admin,cloud-gw-05,185.220.101.5
Mar 13 10:32:25,7036,Information,Service Control Manager,endpoint_registered: Device compliance check passed mdm_enrolled=true,SYSTEM,web-srv-01,-
Jan 03 13:17:26,4625,FailureAudit,Security,An account failed to log on. Account Name: aruiz Failure Reason: bad password,scanner,cloud-gw-05,1.1.1.1
Jan 28 17:28:42,4648,Information,Security,A logon was attempted using explicit credentials: api_svc,scanner,siem-srv-06,172.16.0.25
Jan 28 04:18:35,4720,Information,Security,A user account was created: aruiz account_provisioned=true,admin,cloud-gw-05,10.0.1.10
Feb 10 00:35:19,8001,Warning,DLP-Agent,dlp_block: sensitive_leak attempt blocked user=devops file=financial_data.xlsx classification=C3,api_svc,dlp-agent-08,172.16.0.25
Jan 15 08:52:14,4624,Information,Security,An account was successfully logged on. Subject: root,sysadmin,cloud-gw-05,10.0.1.20
Feb 28 23:13:48,4720,Information,Security,A user account was created: backup_svc account_provisioned=true,admin,backup-srv-07,192.168.1.50
Jan 12 00:40:07,4625,FailureAudit,Security,An account failed to log on. Account Name: mlopez Failure Reason: bad password,api_svc,dlp-agent-08,45.33.32.156
Jan 21 16:14:29,4720,Information,Security,A user account was created: mlopez account_provisioned=true,admin,cloud-gw-05,172.16.0.25
Feb 24 20:20:39,8001,Warning,DLP-Agent,dlp_block: sensitive_leak attempt blocked user=mlopez file=financial_data.xlsx classification=C3,mlopez,auth-srv-03,10.0.1.10
Mar 24 05:55:31,4624,Information,Security,An account was successfully logged on. Subject: api_svc,devops,cloud-gw-05,192.168.1.50
Mar 26 08:15:45,8001,Warning,DLP-Agent,dlp_block: sensitive_leak attempt blocked user=readonly_user file=financial_data.xlsx classification=C3,devops,proxy-srv-04,172.16.0.25
Jan 03 13:13:26,4672,Information,Security,Special privileges assigned to new logon: readonly_user,backup_svc,siem-srv-06,172.16.0.25
Feb 12 03:05:38,4624,Information,Security,An account was successfully logged on. Subject: readonly_user,backup_svc,siem-srv-06,10.0.2.5
Jan 06 20:43:55,4625,FailureAudit,Security,An account failed to log on. Account Name: scanner Failure Reason: bad password,api_svc,auth-srv-03,77.88.8.8
Mar 08 02:42:44,4625,FailureAudit,Security,An account failed to log on. Account Name: api_svc Failure Reason: bad password,mlopez,proxy-srv-04,104.21.8.9
Jan 26 16:24:05,4826,Information,Security,config_compliant: Boot configuration changed authorized_change=true baseline_check=passed,SYSTEM,proxy-srv-04,-
Feb 10 23:09:36,4624,Information,Security,An account was successfully logged on. Subject: api_svc,devops,cloud-gw-05,192.168.1.100
Feb 24 23:03:10,4624,Information,Security,An account was successfully logged on. Subject: aruiz,jgarcia,cloud-gw-05,45.33.32.156
Jan 05 16:26:20,4624,Information,Security,An account was successfully logged on. Subject: admin,admin,web-srv-01,10.0.2.5
Feb 11 04:19:17,4648,Information,Security,A logon was attempted using explicit credentials: admin,mlopez,backup-srv-07,192.168.1.100
Feb 18 18:50:10,4739,Information,Security,Domain policy compliance_check was changed. compliance_scan=passed,System,siem-srv-06,-
Feb 10 02:03:03,4624,Information,Security,An account was successfully logged on. Subject: backup_svc,backup_svc,web-srv-01,192.168.1.50
Mar 17 20:46:40,4739,Information,Security,Domain policy compliance_check was changed. compliance_scan=passed,System,auth-srv-03,-
Jan 14 13:24:58,4688,Information,Security,A new process has been created: siem_alert triggered process=cmd.exe parent=explorer.exe User=mlopez,dbadmin,dlp-agent-08,10.0.1.20
Jan 04 07:59:50,4739,Information,Security,Domain policy compliance_check was changed. compliance_scan=passed,System,siem-srv-06,-
Jan 12 02:17:44,4648,Information,Security,A logon was attempted using explicit credentials: admin,backup_svc,dlp-agent-08,10.0.1.10
Jan 21 05:28:48,4688,Information,Security,A new process has been created: siem_alert triggered process=cmd.exe parent=explorer.exe User=sysadmin,root,web-srv-01,192.168.1.100
Feb 21 23:21:09,7036,Information,Service Control Manager,endpoint_registered: Device compliance check passed mdm_enrolled=true,SYSTEM,proxy-srv-04,-
Feb 01 05:54:51,4625,FailureAudit,Security,An account failed to log on. Account Name: jgarcia Failure Reason: bad password,devops,proxy-srv-04,203.0.113.50
Feb 13 19:01:29,4672,Information,Security,Special privileges assigned to new logon: sysadmin,aruiz,siem-srv-06,192.168.1.100
Mar 11 16:03:16,4673,SuccessAudit,Security,A privileged service was called by backup_svc,sysadmin,backup-srv-07,10.0.1.10
Feb 22 11:14:34,4624,Information,Security,An account was successfully logged on. Subject: aruiz,root,siem-srv-06,192.168.1.50
Mar 20 00:30:35,4740,Information,Security,A user account was locked out after failed attempts: backup_svc account_locked=true,sysadmin,siem-srv-06,91.108.4.12
Mar 27 12:40:04,4720,Information,Security,A user account was created: scanner account_provisioned=true,admin,web-srv-01,10.0.2.5
Feb 22 02:23:07,8001,Warning,DLP-Agent,dlp_block: sensitive_leak attempt blocked user=admin file=financial_data.xlsx classification=C3,dbadmin,siem-srv-06,10.0.1.20
Jan 02 19:04:38,4826,Information,Security,config_compliant: Boot configuration changed authorized_change=true baseline_check=passed,SYSTEM,proxy-srv-04,-
Jan 11 11:57:55,4648,Information,Security,A logon was attempted using explicit credentials: api_svc,scanner,web-srv-01,10.0.2.5
Feb 15 15:43:05,4739,Information,Security,Domain policy compliance_check was changed. compliance_scan=passed,System,cloud-gw-05,-
Jan 12 03:43:25,4625,FailureAudit,Security,An account failed to log on. Account Name: aruiz Failure Reason: bad password,devops,cloud-gw-05,77.88.8.8
Feb 19 15:50:40,4826,Information,Security,config_compliant: Boot configuration changed authorized_change=true baseline_check=passed,SYSTEM,db-srv-02,-
Jan 18 01:37:42,7036,Information,Service Control Manager,endpoint_registered: Device compliance check passed mdm_enrolled=true,SYSTEM,backup-srv-07,-
Jan 29 05:19:09,8001,Warning,DLP-Agent,dlp_block: sensitive_leak attempt blocked user=devops file=financial_data.xlsx classification=C3,readonly_user,auth-srv-03,91.108.4.12
Feb 28 20:15:11,4739,Information,Security,Domain policy compliance_check was changed. compliance_scan=passed,System,cloud-gw-05,-
Feb 29 22:56:53,1102,Information,Security,The audit log was cleared by mlopez - audit_trail_broken=true,devops,siem-srv-06,77.88.8.8
Jan 23 23:19:08,4624,Information,Security,An account was successfully logged on. Subject: jgarcia,root,web-srv-01,45.33.32.156
Jan 17 14:36:31,4624,Information,Security,An account was successfully logged on. Subject: backup_svc,readonly_user,auth-srv-03,45.33.32.156
Mar 11 12:02:10,4672,Information,Security,Special privileges assigned to new logon: root,devops,cloud-gw-05,10.0.2.5
Mar 16 21:14:57,4688,Information,Security,A new process has been created: siem_alert triggered process=cmd.exe parent=explorer.exe User=aruiz,root,proxy-srv-04,192.168.1.50
Jan 05 15:49:28,4720,Information,Security,A user account was created: root account_provisioned=true,admin,siem-srv-06,10.0.1.10
Jan 23 21:51:50,4624,Information,Security,An account was successfully logged on. Subject: jgarcia,readonly_user,cloud-gw-05,10.0.2.5
